Feature,Mean,SD,CI_2.5%,CI_97.5%,Significant
int_rate,-0.5307458647152081,0.009728223196057305,-0.5502901136382369,-0.5117650992006478,True
log_upb,0.10211377207024742,0.007681498823575261,0.08707371988949988,0.11617966628142522,True
fico_score,0.1083492626487132,0.09581814735450837,0.006022060256673694,0.23021192052852013,True
dti_r,-0.07046315092662411,0.004188514766210174,-0.07880122212076655,-0.062317285304367726,True
ltv_r,-0.11281930776811841,0.0054981910425861685,-0.12350183665251956,-0.10190575897103893,True
bal_repaid_lag1,-0.1948526790314354,0.0067611173764612394,-0.20863421786965253,-0.18239672518779568,True
t_act_12m,-2.4486802091240722,0.20478999274744614,-2.6746873411665173,-2.222863559462482,True
t_del_30d_12m,-0.6008330086343562,0.06099493847863884,-0.6752334462699734,-0.5280340255240827,True
t_del_60d_12m,1.2393642294792901,2.576686691883715,-1.3608809789977308,3.886499660544536,False
hpi_st_d_t_o,-1.0507036620181307,0.021141976134020694,-1.085004685287261,-1.0173932826263055,True
ppi_c_FRMA,1.145327996197747,0.02460203125150326,1.0990846458692036,1.1931375961706818,True
TB10Y_d_t_o,0.2301058763062084,0.01811623351239371,0.1951952089034921,0.2661631313554627,True
FRMA30Y_d_t_o,0.24477118190000288,0.03336592527790769,0.18048241190870373,0.30964060755521744,True
