Feature,Mean,SD,CI_2.5%,CI_97.5%,Significant
int_rate,-0.5480220563329634,0.03313058833490529,-0.614111801660819,-0.5119312818352714,True
log_upb,0.08760811287807652,0.0297224123813004,0.03050944621534676,0.11771794443853607,True
fico_score,0.19192860808992385,0.11921986984386358,0.007666501982874593,0.36053182496845,True
dti_r,1.911870671071948,3.4338707445086074,-0.08052067034168776,7.8922102502328135,False
ltv_r,-0.10806102635591815,0.01187909426515979,-0.12638233847357888,-0.08402465002522122,True
bal_repaid_lag1,-0.15996251028823721,0.061615109039535675,-0.2070346242855979,-0.04565363308205723,True
t_act_12m,-2.448423309832465,0.20361237741204985,-2.6768063313240504,-2.2226718808139108,True
t_del_30d_12m,-0.5967742965359801,0.053652502960930396,-0.6648158258842591,-0.5303289390514397,True
t_del_60d_12m,1.3618555729700037,2.7095425120769554,-1.3694746759224805,4.363072069095125,False
hpi_st_d_t_o,-1.00662109032607,0.09010737297357738,-1.0868914530884615,-0.8418336096503767,True
ppi_c_FRMA,1.1781058412813952,0.05168583591469667,1.1117448117036894,1.2845490517563452,True
TB10Y_d_t_o,0.198512915862803,0.0566387109948163,0.0827954903895651,0.2624368716747102,True
FRMA30Y_d_t_o,0.29390851287272196,0.07815331306839787,0.19776355631403889,0.4551223441917763,True
