feature,importance,std
t_act_12m,0.49911616964456035,0.011497397136136065
t_del_60d_12m,0.37662936351497434,0.0002410782553586963
TB10Y_d_t_o,0.11957461690087115,0.06801046805346551
T10Y3MM,0.10331277420995746,0.07540890994267441
int_rate,0.06969542824442046,0.06528882315590386
hpi_st_log12m,0.03565206333057804,0.05565166384929274
st_unemp_r12m,0.032879760920709634,0.001315362797101691
hpi_st_d_t_o,0.028419278947033822,0.02591212444237437
ltv_r,0.018414192153621212,0.013005756731994928
T10Y3MM_r12m,0.01282507789152416,0.019731841468808284
t_del_30d_12m,0.009486869714503765,4.758259536812179e-05
fico_score,0.008494944999046261,0.00021506370605059005
st_unemp_r3m,0.0048451707255039445,0.024348985568817507
log_upb,-0.005455585935016161,0.010732214942756207
ppi_o_FRMA,-0.012030266420804936,0.033330669199273764
dti_r,-0.012888662809181595,0.01631592704055157
bal_repaid_lag1,-0.026909137152667316,0.031678390138848295
FRMA30Y_d_t_o,-0.03380174222674377,0.00758574729917392
hpi_r_st_us,-0.03606536529535189,0.029656026045160502
TB10Y_r12m,-0.03801106377567236,0.01607736312909964
ppi_c_FRMA,-0.04244293253640232,0.012410482662021332
