feature,importance,std
hpi_st_d_t_o,0.16316543462593378,0.0018006292664793403
bal_repaid_lag1,0.09990419808062337,0.002242987173790496
T10Y3MM,0.04437186492417642,0.0013711609432101564
t_act_12m,0.03173129599548326,0.0006962988816594339
int_rate,0.02612675731505574,0.0009543699897494982
hpi_st_log12m,0.025389395930892733,0.000587145208299277
TB10Y_r12m,0.024510390378710036,0.00047869991660848846
ppi_c_FRMA,0.02219969933468833,0.0005851724926663487
FRMA30Y_d_t_o,0.020160394541150196,0.0006583887453746536
hpi_r_st_us,0.016624453567183516,0.00015968654476503799
TB10Y_d_t_o,0.013440720134007055,0.0006873993915102128
ppi_o_FRMA,0.007855892443100277,0.0006752848238184193
st_unemp_r12m,0.0066072192641886355,0.00042895976406583867
t_del_30d_12m,0.004487567601560438,0.00027853455282543017
T10Y3MM_r12m,0.0029459549046358057,0.0002174903432023948
st_unemp_r3m,0.0024582360423546666,0.00025009387654844175
t_del_60d_12m,0.0011890588632756716,0.0002758188072277484
dti_r,0.0007739472246913071,0.000161635094392082
log_upb,0.000641517909643352,0.00016331257447111972
ltv_r,0.00016714171121035015,9.236967342036611e-05
fico_score,0.0001182243819815687,2.6885154802358748e-05
