landmark,metric,cindex
12,Prepay_12,0.5616979026989342
12,Default_12,
12,Prepay_24,0.5629402805658408
12,Default_24,0.7041310273521948
12,Prepay_36,0.5532634740471675
12,Default_36,0.7005827615377385
24,Prepay_12,0.4981846771711161
24,Default_12,
24,Prepay_24,0.5302099322889282
24,Default_24,
24,Prepay_36,0.5131927870459776
24,Default_36,0.8877123666534966
36,Prepay_12,0.48903227565261115
36,Default_12,
36,Prepay_24,0.4799377085641447
36,Default_24,
36,Prepay_36,0.5044406063604254
36,Default_36,0.4515562248995984
48,Prepay_12,0.5023544859381404
48,Default_12,
48,Prepay_24,0.5002694070765344
48,Default_24,0.6334968465311843
48,Prepay_36,0.5035812796102566
48,Default_36,0.6183802182400641
60,Prepay_12,0.506244101715512
60,Default_12,
60,Prepay_24,0.5288426638203949
60,Default_24,
60,Prepay_36,0.5242627391111951
60,Default_36,
