feature,importance,std
t_act_12m,0.006158199275131893,0.0009195717972796194
t_del_60d_12m,0.0015800852037896385,0.0006439130682222237
bal_repaid_lag1,0.00061359445539515,0.0005136327306755682
hpi_st_d_t_o,0.0003592547847650285,0.0006247925967121092
log_upb,0.00022890570356709494,9.19236491053729e-05
t_del_30d_12m,0.00021300947415273664,2.0357106369416786e-05
fico_score,0.00014942455649518126,6.366434919089878e-05
int_rate,9.537737648628309e-05,0.00018700885318055865
TB10Y_d_t_o,8.901888472051533e-05,7.63019011890409e-05
hpi_r_st_us,7.948114707189147e-05,0.0001066351486694678
ppi_c_FRMA,7.312265530612372e-05,9.64836962261813e-05
TB10Y_r12m,6.994340942324539e-05,4.450944236026004e-05
ltv_r,5.72264258917321e-05,6.93629561558833e-05
st_unemp_r3m,4.7688688243130437e-05,6.238130880124975e-05
T10Y3MM_r12m,3.815095059450657e-05,5.8276539644621675e-05
T10Y3MM,3.179245882872772e-05,0.00018915845082524517
FRMA30Y_d_t_o,3.1792458828450164e-06,0.00012910243850858315
ppi_o_FRMA,-9.537737648657173e-06,0.00010739076590611162
hpi_st_log12m,-1.589622941440272e-05,9.773272810412776e-05
dti_r,-1.589622941442492e-05,9.457922541261139e-05
st_unemp_r12m,-2.2254721180170467e-05,0.00018321395732464823
