feature,importance,std
hpi_st_d_t_o,0.05923566517248228,0.0012111481179592086
bal_repaid_lag1,0.01618170775846991,0.0006648902241947463
TB10Y_r12m,0.014313675949947147,0.00029645723850834076
T10Y3MM_r12m,0.009620791312426425,0.00043387202952257945
T10Y3MM,0.007943494147581453,0.0009078748077768256
FRMA30Y_d_t_o,0.007921888936123268,0.0008093171486216526
TB10Y_d_t_o,0.004630171000798866,0.0003252822123588262
ppi_c_FRMA,0.004388444733668273,0.0006808601205737665
dti_r,0.0035061563251845506,0.00017548486752662484
int_rate,0.001380846237244182,0.00035142882648346
ppi_o_FRMA,0.0009158372606406951,7.706655485783874e-05
hpi_r_st_us,0.0005749136726532656,0.00011713597389083436
ltv_r,0.0003026876619871666,3.195773848987342e-05
t_del_30d_12m,0.00013230118669026457,6.646868796937963e-05
t_del_60d_12m,0.00010109327425857905,4.446609331408143e-05
fico_score,6.927242346690398e-05,3.967996144144857e-05
st_unemp_r3m,4.102185204905018e-05,0.00010172727240138899
log_upb,-3.203208943514113e-06,8.781080461287275e-05
hpi_st_log12m,-0.0005357773852201486,0.0003231947391256426
st_unemp_r12m,-0.0005660537698617407,0.00012409677605008384
t_act_12m,-0.016941335773451294,0.0008083035076673954
