Metric,Prepay (k=1),Default (k=2),Combined,Model,Experiment,Fold
C(24),0.8730505440146542,0.1441038102212458,0.50857717711795,CSC,Exp 4.1,0
C(48),0.8487519606429598,0.1533835275331874,0.5010677440880735,CSC,Exp 4.1,0
C(72),0.8565644881434356,0.14244926040591674,0.49950687427467616,CSC,Exp 4.1,0
ØC,0.8594556642670165,0.14664553272011663,0.5030505984935666,CSC,Exp 4.1,0
C(24),0.7256596228339638,0.9861000155338082,0.855879819183886,FGR,Exp 4.1,0
C(48),0.7582167870359448,0.9905370517615416,0.8743769193987432,FGR,Exp 4.1,0
C(72),0.7956461368551967,0.9931790259963634,0.8944125814257801,FGR,Exp 4.1,0
ØC,0.7598408489083684,0.9899386977639044,0.8748897733361365,FGR,Exp 4.1,0
C(24),0.7492497236439224,0.9982163859485609,0.8737330547962416,RSF,Exp 4.1,0
C(48),0.7867339656907507,0.9991721556347407,0.8929530606627457,RSF,Exp 4.1,0
C(72),0.8122823531003424,0.9995036611135683,0.9058930071069553,RSF,Exp 4.1,0
ØC,0.7827553474783385,0.9989640675656233,0.8908597075219808,RSF,Exp 4.1,0
C(24),0.8696842377771157,0.19233640780602107,0.5310103227915683,CSC,Exp 4.1,1
C(48),0.8483226996083497,0.13525778190480037,0.49179024075657507,CSC,Exp 4.1,1
C(72),0.8532583389128979,0.1156120423581739,0.4844351906355359,CSC,Exp 4.1,1
ØC,0.8570884254327877,0.14773541068966511,0.5024119180612264,CSC,Exp 4.1,1
C(24),0.7219835828673936,0.9772056374266319,0.8495946101470128,FGR,Exp 4.1,1
C(48),0.7561625303129755,0.9875731761476039,0.8718678532302897,FGR,Exp 4.1,1
C(72),0.7843634921480309,0.9894104565246761,0.8868869743363534,FGR,Exp 4.1,1
ØC,0.7541698684428001,0.9847297566996374,0.8694498125712187,FGR,Exp 4.1,1
C(24),0.7486125722516258,0.9974960085457323,0.8730542903986791,RSF,Exp 4.1,1
C(48),0.7927475392582494,0.9986475029270458,0.8956975210926477,RSF,Exp 4.1,1
C(72),0.812784938219003,0.9992985336755796,0.9060417359472913,RSF,Exp 4.1,1
ØC,0.7847150165762927,0.9984806817161193,0.891597849146206,RSF,Exp 4.1,1
C(24),0.8739756957256111,0.18514096956635043,0.5295583326459807,CSC,Exp 4.1,2
C(48),0.8561497728523072,0.15222589051751642,0.5041878316849118,CSC,Exp 4.1,2
C(72),0.8606395460163281,0.13002948271240955,0.4953345143643688,CSC,Exp 4.1,2
ØC,0.8635883381980821,0.15579878093209212,0.5096935595650871,CSC,Exp 4.1,2
C(24),0.7230731456105951,0.9948619885759362,0.8589675670932657,FGR,Exp 4.1,2
C(48),0.7656887929820051,0.9962146060286701,0.8809516995053376,FGR,Exp 4.1,2
C(72),0.795668156238421,0.9961243634414366,0.8958962598399288,FGR,Exp 4.1,2
ØC,0.761476698277007,0.9957336526820143,0.8786051754795107,FGR,Exp 4.1,2
C(24),0.7462811020631934,0.9985455800424,0.8724133410527968,RSF,Exp 4.1,2
