Experiment,Model,Metric,Prepay (k=1),Default (k=2),Combined
Exp 4.1,CSC,C(24),0.872236825839127,0.17386039586453908,0.523048610851833
Exp 4.1,CSC,C(48),0.8510748110345389,0.1469557333185014,0.49901527217652014
Exp 4.1,CSC,C(72),0.8568207910242206,0.12936359515883342,0.4930921930915269
Exp 4.1,CSC,ØC,0.8600441426326287,0.15005990811395795,0.5050520253732934
Exp 4.1,FGR,C(24),0.7235721171039842,0.9860558805121254,0.8548139988080549
Exp 4.1,FGR,C(48),0.7600227034436418,0.9914416113126051,0.8757321573781235
Exp 4.1,FGR,C(72),0.7918925950805495,0.9929046153208253,0.8923986052006875
Exp 4.1,FGR,ØC,0.7584958052093919,0.9901340357151853,0.8743149204622886
Exp 4.1,RSF,C(24),0.7480477993195805,0.9980859915122311,0.8730668954159059
Exp 4.1,RSF,C(48),0.7917272457886484,0.9991477566522277,0.895437501220438
Exp 4.1,RSF,C(72),0.817289480731272,0.9994792270846342,0.9083843539079531
Exp 4.1,RSF,ØC,0.7856881752798337,0.9989043250830308,0.8922962501814323
Exp 4.2,CSC,C(24),0.9209454693867687,0.775717103125192,0.8483312862559803
Exp 4.2,CSC,C(48),0.9520345530104878,0.8421288744716326,0.8970817137410602
Exp 4.2,CSC,C(72),0.9591572116743285,0.8707749072392107,0.9149660594567696
Exp 4.2,CSC,ØC,0.9440457446905283,0.8295402949453452,0.8867930198179367
Exp 4.2,FGR,C(24),0.6785383495643392,0.7471897282644084,0.7128640389143738
Exp 4.2,FGR,C(48),0.7102418524704385,0.7929904174256946,0.7516161349480667
Exp 4.2,FGR,C(72),0.7238970783002943,0.8124286710684991,0.7681628746843967
Exp 4.2,FGR,ØC,0.7042257601116907,0.7842029389195341,0.7442143495156124
Exp 4.2,RSF,C(24),0.9380950423603881,0.895946186985447,0.9170206146729175
Exp 4.2,RSF,C(48),0.9751422598067193,0.9215439954982556,0.9483431276524875
Exp 4.2,RSF,C(72),0.9833264465183227,0.9332345560438925,0.9582805012811075
Exp 4.2,RSF,ØC,0.9655212495618101,0.916908246175865,0.9412147478688375
Exp 4.3,CSC,C(24),0.9531820879394779,0.48195441408126966,0.7175682510103738
Exp 4.3,CSC,C(48),0.962199594838505,0.5267655762755686,0.7444825855570367
Exp 4.3,CSC,C(72),0.9683400056061208,0.5404940429999088,0.7544170243030147
Exp 4.3,CSC,ØC,0.9612405627947012,0.5164046777855823,0.7388226202901418
Exp 4.3,FGR,C(24),0.7507444202688752,0.9789810480317594,0.8648627341503173
Exp 4.3,FGR,C(48),0.7928422474902282,0.9877474480276051,0.8902948477589168
Exp 4.3,FGR,C(72),0.8346299377002637,0.9897150786817465,0.9121725081910051
Exp 4.3,FGR,ØC,0.7927388684864557,0.9854811915803703,0.889110030033413
Exp 4.3,RSF,C(24),0.8795250258421895,0.9982678995216837,0.9388964626819366
Exp 4.3,RSF,C(48),0.95775882178578,0.9991679130510009,0.9784633674183905
Exp 4.3,RSF,C(72),0.9792105524072857,0.9994385802523925,0.9893245663298392
Exp 4.3,RSF,ØC,0.9388314666784184,0.9989581309416925,0.9688947988100555
