variant,test_year,cause,fit_seconds,AUC,log_loss,Brier,ECE,n_events
linear_independent,2015,prepay,0.20682501792907715,0.6494003043726262,0.3333821270030386,0.09434425521106281,0.021898522586846984,2944
linear_independent,2015,default,0.20682501792907715,0.8207347322248719,0.007025182078428132,0.0010935118801753865,0.0005537248391751455,26
linear_spatial,2015,prepay,12.25869107246399,0.6603595908377258,0.3304759918296578,0.09347272711822506,0.01696535371516574,2944
linear_spatial,2015,default,12.25869107246399,0.8418961333504879,0.006848901168451622,0.0010570183005892127,0.0004232431431020451,26
linear_spatio_temporal,2015,prepay,56.544005155563354,0.6604103086792459,0.3328986872129066,0.09460940922140372,0.021732602830669745,2944
linear_spatio_temporal,2015,default,56.544005155563354,0.843849953772549,0.006823351956189498,0.0010639539928095608,0.00036181715854583624,26
lagaboost_spatial,2015,prepay,106.8865602016449,0.660127843239513,0.3294367744151638,0.09314425193547761,0.01999718212868348,2944
lagaboost_spatial,2015,default,106.8865602016449,0.7267823001223757,0.007621840335398543,0.0010072231531957569,0.0007425477570943255,26
lagaboost_spatio_temporal,2015,prepay,1582.667150259018,0.6705926642834795,0.326913462081489,0.09267489495313974,0.012487564211232276,2944
lagaboost_spatio_temporal,2015,default,1582.667150259018,0.7358048812597803,0.007781541077991278,0.0010068332292692262,0.0013969874020028335,26
linear_independent,2016,prepay,0.33333611488342285,0.6341836190244913,0.39227871842113304,0.11496164169089602,0.033662613577612396,4171
linear_independent,2016,default,0.33333611488342285,0.830359087504449,0.008774714494224024,0.0013782136903527163,0.0005791576557059525,38
linear_spatial,2016,prepay,77.33508586883545,0.6501345892183031,0.3902760107928108,0.11444499966252222,0.037200777576534505,4171
linear_spatial,2016,default,77.33508586883545,0.8658003637091248,0.008365889347511085,0.0013635933771552814,0.0006424784244579119,38
linear_spatio_temporal,2016,prepay,707.9012930393219,0.6437652789516255,0.39014084230551954,0.11475642803773729,0.035322804652902245,4171
linear_spatio_temporal,2016,default,707.9012930393219,0.8642226381483771,0.008367465369793763,0.0013836410283870235,0.0005713862004195775,38
lagaboost_spatial,2016,prepay,141.49897003173828,0.6601585933278863,0.38192847515736406,0.11287961156147343,0.029578302153399547,4171
lagaboost_spatial,2016,default,141.49897003173828,0.7026460989805874,0.008766706189202052,0.0012651102857988478,0.000858745026000815,38
lagaboost_spatio_temporal,2016,prepay,1672.7959070205688,0.663422158188778,0.38197635332151564,0.11303578487443675,0.02973799136183747,4171
lagaboost_spatio_temporal,2016,default,1672.7959070205688,0.7782463341342962,0.008798734909542716,0.0012619266452013717,0.0015396641520482347,38
linear_independent,2017,prepay,0.3830251693725586,0.6193354288837248,0.3197642761373956,0.08832797625737066,0.02033978785597793,3414
linear_independent,2017,default,0.3830251693725586,0.8417902271385023,0.007799753209017431,0.0012447681342075926,0.00037657297771393085,38
linear_spatial,2017,prepay,11.98890495300293,0.626778956281778,0.3185897507567578,0.0880099215838019,0.019256707575252344,3414
linear_spatial,2017,default,11.98890495300293,0.8304184961512963,0.008007924823015801,0.00122122302478348,0.0005599602355746907,38
linear_spatio_temporal,2017,prepay,119.97592902183533,0.6252751041935798,0.31947049526681953,0.08837604337001796,0.02138114143211631,3414
linear_spatio_temporal,2017,default,119.97592902183533,0.8303189678005222,0.008017031067068699,0.0012255778584797227,0.0006214826994494518,38
lagaboost_spatial,2017,prepay,63.833948850631714,0.648884964772927,0.3103763353499807,0.08598970034248256,0.008445726632529293,3414
lagaboost_spatial,2017,default,63.833948850631714,0.6941567810063716,0.008148348056566291,0.0011708884752937654,0.0009889757375128156,38
lagaboost_spatio_temporal,2017,prepay,1605.079432964325,0.6474724856911223,0.3122570421234813,0.08641303366665,0.01668605343743316,3414
lagaboost_spatio_temporal,2017,default,1605.079432964325,0.6582023699263161,0.008249185039413793,0.0011681065607701735,0.0012555636588718598,38
linear_independent,2018,prepay,0.5017399787902832,0.5912442226176913,0.2905293305997492,0.0772185975289451,0.029949757912647246,3199
linear_independent,2018,default,0.5017399787902832,0.886996808565436,0.006981583812050463,0.0011137410565717509,0.000575655372620718,39
linear_spatial,2018,prepay,12.557898044586182,0.5987020129696132,0.28885255078404726,0.0768838426355986,0.02556943858581817,3199
linear_spatial,2018,default,12.557898044586182,0.906035141329259,0.006768291460702028,0.0010780673722534167,0.0007455104402869124,39
linear_spatio_temporal,2018,prepay,153.54878091812134,0.6003350525024342,0.2882563292686442,0.07677140022209002,0.025457041957904998,3199
linear_spatio_temporal,2018,default,153.54878091812134,0.908274006313222,0.006727860491136499,0.001081129766980499,0.0007985361812510167,39
lagaboost_spatial,2018,prepay,189.3337779045105,0.6243736766891379,0.2824454593818525,0.07516818777505435,0.02371687386233279,3199
lagaboost_spatial,2018,default,189.3337779045105,0.7805502413345551,0.00721316136871361,0.0010804221671854757,0.0009650164974972072,39
lagaboost_spatio_temporal,2018,prepay,1670.051882982254,0.6321278680823191,0.2807756891272969,0.0747314955243862,0.020703689142377236,3199
lagaboost_spatio_temporal,2018,default,1670.051882982254,0.8514267141718121,0.007388496744981496,0.0010801222238935625,0.0016560128806996242,39
linear_independent,2019,prepay,0.7072098255157471,0.6026007266545188,0.38328309824913054,0.11099716437869352,0.028678265791454688,5174
linear_independent,2019,default,0.7072098255157471,0.8894242018662897,0.005771341542767627,0.0009055033633117807,0.00035184106433089134,33
linear_spatial,2019,prepay,15.51918888092041,0.6213682166213355,0.38016012897483675,0.11028204818609802,0.02992273751083434,5174
linear_spatial,2019,default,15.51918888092041,0.902085302733918,0.005660470517526371,0.0009189506706973776,0.000543890759525026,33
linear_spatio_temporal,2019,prepay,174.01723384857178,0.6168312726893207,0.38500540058478155,0.1112234779005725,0.03932424882564584,5174
linear_spatio_temporal,2019,default,174.01723384857178,0.8984881243194843,0.0056798178040210765,0.0009194780026901842,0.0005370887000158028,33
lagaboost_spatial,2019,prepay,128.5562539100647,0.6281176758627418,0.3758934460974735,0.1092442156102533,0.03300166443845982,5174
lagaboost_spatial,2019,default,128.5562539100647,0.7107905992905479,0.006270414236528488,0.000838988039947542,0.0006776606933187313,33
lagaboost_spatio_temporal,2019,prepay,1954.0145900249481,0.6343037071846869,0.3747460652161757,0.1091473362135987,0.030530647649092076,5174
lagaboost_spatio_temporal,2019,default,1954.0145900249481,0.8674414015580493,0.006376471411477621,0.0008362824996509994,0.0016175475653960306,33
linear_independent,2020,prepay,0.7102100849151611,0.603646252273206,0.6457530762447488,0.2142944015135271,0.13221208015034241,11569
linear_independent,2020,default,0.7102100849151611,0.6867199283354112,0.07627299791322092,0.011251610793140205,0.009996547074023908,460
linear_spatial,2020,prepay,18.070056915283203,0.6415258316060642,0.6375990243073467,0.21226375340631748,0.1359789183107194,11569
linear_spatial,2020,default,18.070056915283203,0.7065565579201576,0.07675360163101075,0.01128534243769313,0.010243241485229277,460
linear_spatio_temporal,2020,prepay,175.79303884506226,0.6391105189656772,0.6264381659324321,0.2096389146165022,0.1255401457288579,11569
